regPA_SC_VPORT_ZMAX_12 reg:0xa0cd
regPA_SC_VPORT_ZMIN_13 reg:0xa0ce
regPA_SC_VPORT_ZMAX_13 reg:0xa0cf
regPA_SC_VPORT_ZMIN_14 reg:0xa0d0
regPA_SC_VPORT_ZMAX_14 reg:0xa0d1
regPA_SC_VPORT_ZMIN_15 reg:0xa0d2
regPA_SC_VPORT_ZMAX_15 reg:0xa0d3
regPA_SC_RASTER_CONFIG reg:0xa0d4
regPA_SC_RASTER_CONFIG_1 reg:0xa0d5
regPA_SC_SCREEN_EXTENT_CONTROL reg:0xa0d6
regPA_SC_TILE_STEERING_OVERRIDE reg:0xa0d7
regCP_PERFMON_CNTX_CNTL reg:0xa0d8
regCP_PIPEID reg:0xa0d9
regCP_RINGID reg:0xa0d9
regCP_VMID reg:0xa0da
regPA_SC_RIGHT_VERT_GRID reg:0xa0e8
regPA_SC_LEFT_VERT_GRID reg:0xa0e9
regPA_SC_HORIZ_GRID reg:0xa0ea
regVGT_MULTI_PRIM_IB_RESET_INDX reg:0xa103
regCB_BLEND_RED reg:0xa105
regCB_BLEND_GREEN reg:0xa106
regCB_BLEND_BLUE reg:0xa107
regCB_BLEND_ALPHA reg:0xa108
regCB_DCC_CONTROL reg:0xa109
regDB_STENCIL_CONTROL reg:0xa10b
regDB_STENCILREFMASK reg:0xa10c
regDB_STENCILREFMASK_BF reg:0xa10d
regPA_CL_VPORT_XSCALE reg:0xa10f
regPA_CL_VPORT_XOFFSET reg:0xa110
regPA_CL_VPORT_YSCALE reg:0xa111
regPA_CL_VPORT_YOFFSET reg:0xa112
regPA_CL_VPORT_ZSCALE reg:0xa113
regPA_CL_VPORT_ZOFFSET reg:0xa114
regPA_CL_VPORT_XSCALE_1 reg:0xa115
regPA_CL_VPORT_XOFFSET_1 reg:0xa116
regPA_CL_VPORT_YSCALE_1 reg:0xa117
regPA_CL_VPORT_YOFFSET_1 reg:0xa118
regPA_CL_VPORT_ZSCALE_1 reg:0xa119
regPA_CL_VPORT_ZOFFSET_1 reg:0xa11a
regPA_CL_VPORT_XSCALE_2 reg:0xa11b
regPA_CL_VPORT_XOFFSET_2 reg:0xa11c
regPA_CL_VPORT_YSCALE_2 reg:0xa11d
regPA_CL_VPORT_YOFFSET_2 reg:0xa11e
regPA_CL_VPORT_ZSCALE_2 reg:0xa11f
regPA_CL_VPORT_ZOFFSET_2 reg:0xa120
regPA_CL_VPORT_XSCALE_3 reg:0xa121
regPA_CL_VPORT_XOFFSET_3 reg:0xa122
regPA_CL_VPORT_YSCALE_3 reg:0xa123
regPA_CL_VPORT_YOFFSET_3 reg:0xa124
regPA_CL_VPORT_ZSCALE_3 reg:0xa125
regPA_CL_VPORT_ZOFFSET_3 reg:0xa126
regPA_CL_VPORT_XSCALE_4 reg:0xa127
regPA_CL_VPORT_XOFFSET_4 reg:0xa128
regPA_CL_VPORT_YSCALE_4 reg:0xa129
regPA_CL_VPORT_YOFFSET_4 reg:0xa12a
regPA_CL_VPORT_ZSCALE_4 reg:0xa12b
regPA_CL_VPORT_ZOFFSET_4 reg:0xa12c
regPA_CL_VPORT_XSCALE_5 reg:0xa12d
regPA_CL_VPORT_XOFFSET_5 reg:0xa12e
regPA_CL_VPORT_YSCALE_5 reg:0xa12f
regPA_CL_VPORT_YOFFSET_5 reg:0xa130
regPA_CL_VPORT_ZSCALE_5 reg:0xa131
regPA_CL_VPORT_ZOFFSET_5 reg:0xa132
regPA_CL_VPORT_XSCALE_6 reg:0xa133
regPA_CL_VPORT_XOFFSET_6 reg:0xa134
regPA_CL_VPORT_YSCALE_6 reg:0xa135
regPA_CL_VPORT_YOFFSET_6 reg:0xa136
regPA_CL_VPORT_ZSCALE_6 reg:0xa137
regPA_CL_VPORT_ZOFFSET_6 reg:0xa138
regPA_CL_VPORT_XSCALE_7 reg:0xa139
regPA_CL_VPORT_XOFFSET_7 reg:0xa13a
regPA_CL_VPORT_YSCALE_7 reg:0xa13b
regPA_CL_VPORT_YOFFSET_7 reg:0xa13c
regPA_CL_VPORT_ZSCALE_7 reg:0xa13d
regPA_CL_VPORT_ZOFFSET_7 reg:0xa13e
regPA_CL_VPORT_XSCALE_8 reg:0xa13f
regPA_CL_VPORT_XOFFSET_8 reg:0xa140
regPA_CL_VPORT_YSCALE_8 reg:0xa141
regPA_CL_VPORT_YOFFSET_8 reg:0xa142
regPA_CL_VPORT_ZSCALE_8 reg:0xa143
regPA_CL_VPORT_ZOFFSET_8 reg:0xa144
regPA_CL_VPORT_XSCALE_9 reg:0xa145
regPA_CL_VPORT_XOFFSET_9 reg:0xa146
regPA_CL_VPORT_YSCALE_9 reg:0xa147
regPA_CL_VPORT_YOFFSET_9 reg:0xa148
regPA_CL_VPORT_ZSCALE_9 reg:0xa149
regPA_CL_VPORT_ZOFFSET_9 reg:0xa14a
regPA_CL_VPORT_XSCALE_10 reg:0xa14b
regPA_CL_VPORT_XOFFSET_10 reg:0xa14c
regPA_CL_VPORT_YSCALE_10 reg:0xa14d
regPA_CL_VPORT_YOFFSET_10 reg:0xa14e
regPA_CL_VPORT_ZSCALE_10 reg:0xa14f
regPA_CL_VPORT_ZOFFSET_10 reg:0xa150
regPA_CL_VPORT_XSCALE_11 reg:0xa151
regPA_CL_VPORT_XOFFSET_11 reg:0xa152
regPA_CL_VPORT_YSCALE_11 reg:0xa153
regPA_CL_VPORT_YOFFSET_11 reg:0xa154
regPA_CL_VPORT_ZSCALE_11 reg:0xa155
regPA_CL_VPORT_ZOFFSET_11 reg:0xa156
regPA_CL_VPORT_XSCALE_12 reg:0xa157
regPA_CL_VPORT_XOFFSET_12 reg:0xa158
regPA_CL_VPORT_YSCALE_12 reg:0xa159
regPA_CL_VPORT_YOFFSET_12 reg:0xa15a
regPA_CL_VPORT_ZSCALE_12 reg:0xa15b
regPA_CL_VPORT_ZOFFSET_12 reg:0xa15c
regPA_CL_VPORT_XSCALE_13 reg:0xa15d
regPA_CL_VPORT_XOFFSET_13 reg:0xa15e
regPA_CL_VPORT_YSCALE_13 reg:0xa15f
regPA_CL_VPORT_YOFFSET_13 reg:0xa160
regPA_CL_VPORT_ZSCALE_13 reg:0xa161
regPA_CL_VPORT_ZOFFSET_13 reg:0xa162
regPA_CL_VPORT_XSCALE_14 reg:0xa163
regPA_CL_VPORT_XOFFSET_14 reg:0xa164
regPA_CL_VPORT_YSCALE_14 reg:0xa165
regPA_CL_VPORT_YOFFSET_14 reg:0xa166
regPA_CL_VPORT_ZSCALE_14 reg:0xa167
regPA_CL_VPORT_ZOFFSET_14 reg:0xa168
regPA_CL_VPORT_XSCALE_15 reg:0xa169
regPA_CL_VPORT_XOFFSET_15 reg:0xa16a
regPA_CL_VPORT_YSCALE_15 reg:0xa16b
regPA_CL_VPORT_YOFFSET_15 reg:0xa16c
regPA_CL_VPORT_ZSCALE_15 reg:0xa16d
regPA_CL_VPORT_ZOFFSET_15 reg:0xa16e
regPA_CL_UCP_0_X reg:0xa16f
regPA_CL_UCP_0_Y reg:0xa170
regPA_CL_UCP_0_Z reg:0xa171
regPA_CL_UCP_0_W reg:0xa172
regPA_CL_UCP_1_X reg:0xa173
regPA_CL_UCP_1_Y reg:0xa174
regPA_CL_UCP_1_Z reg:0xa175
regPA_CL_UCP_1_W reg:0xa176
regPA_CL_UCP_2_X reg:0xa177
regPA_CL_UCP_2_Y reg:0xa178
regPA_CL_UCP_2_Z reg:0xa179
regPA_CL_UCP_2_W reg:0xa17a
regPA_CL_UCP_3_X reg:0xa17b
regPA_CL_UCP_3_Y reg:0xa17c
regPA_CL_UCP_3_Z reg:0xa17d
regPA_CL_UCP_3_W reg:0xa17e
regPA_CL_UCP_4_X reg:0xa17f
regPA_CL_UCP_4_Y reg:0xa180
regPA_CL_UCP_4_Z reg:0xa181
regPA_CL_UCP_4_W reg:0xa182
regPA_CL_UCP_5_X reg:0xa183
regPA_CL_UCP_5_Y reg:0xa184
regPA_CL_UCP_5_Z reg:0xa185
regPA_CL_UCP_5_W reg:0xa186
regPA_CL_PROG_NEAR_CLIP_Z reg:0xa187
regSPI_PS_INPUT_CNTL_0 reg:0xa191
regSPI_PS_INPUT_CNTL_1 reg:0xa192
regSPI_PS_INPUT_CNTL_2 reg:0xa193
regSPI_PS_INPUT_CNTL_3 reg:0xa194
regSPI_PS_INPUT_CNTL_4 reg:0xa195
regSPI_PS_INPUT_CNTL_5 reg:0xa196
regSPI_PS_INPUT_CNTL_6 reg:0xa197
regSPI_PS_INPUT_CNTL_7 reg:0xa198
regSPI_PS_INPUT_CNTL_8 reg:0xa199
regSPI_PS_INPUT_CNTL_9 reg:0xa19a
regSPI_PS_INPUT_CNTL_10 reg:0xa19b
regSPI_PS_INPUT_CNTL_11 reg:0xa19c
regSPI_PS_INPUT_CNTL_12 reg:0xa19d
regSPI_PS_INPUT_CNTL_13 reg:0xa19e
regSPI_PS_INPUT_CNTL_14 reg:0xa19f
regSPI_PS_INPUT_CNTL_15 reg:0xa1a0
regSPI_PS_INPUT_CNTL_16 reg:0xa1a1
regSPI_PS_INPUT_CNTL_17 reg:0xa1a2
regSPI_PS_INPUT_CNTL_18 reg:0xa1a3
regSPI_PS_INPUT_CNTL_19 reg:0xa1a4
regSPI_PS_INPUT_CNTL_20 reg:0xa1a5
regSPI_PS_INPUT_CNTL_21 reg:0xa1a6
regSPI_PS_INPUT_CNTL_22 reg:0xa1a7
regSPI_PS_INPUT_CNTL_23 reg:0xa1a8
